PERM_ID,OBJ_ID,VER_NBR,PERM_TMPL_ID,NMSPC_CD,NM,DESC_TXT,ACTV_IND
OLESYS6007,OLESYS6007,1,31,OLE-FP,Allow DV Immediate Disbursement,Allow Disbursement Voucher to be marked for immediate disbursement by the Pre-Disbursement Processor.,Y
OLEMI6886-PRM1,OLEMI6886-PRM1,1,42,OLE-PDP,Maintain ACH Accounts,Allows to view and update Payee ACH Accounts of a certain transaction type.,Y
OLEMI6886-PRM2,OLEMI6886-PRM2,1,23,OLE-PDP,Lookup ACH Accounts,Allows the lookup of Payee ACH Account records of certain transaction type(s).,Y
OLEMI6886-PRM3,OLEMI6886-PRM3,1,10,OLE-PDP,Initiate ACH Account Document,Allows initiation the PDP Payee ACH Account maintenance document.,Y
OLECNTRB162-PRM,OLECNTRB162-PRM,1,33,OLE-VND,Use Vendor Exclude File Upload Screen,Authorizes users to access the Vendor Exclude File Upload page.,Y
OLECNTRB199-P1,OLECNTRB199-P1,1,33,OLE-SYS,Upload semaphoreInputFileTypeError,Authorizes users to access the Batch Semaphore File Upload page.,Y
OLECNTRB199-P2,OLECNTRB199-P2,1,OLE50,OLE-SYS,Administer Batch File OLE-SYS batchContainer,Authorizes users to view the batch files using the Batch File lookup screen,Y
OLEMI8342-PRM,OLEMI8342-PRM,1,44,OLE-COA,Modify Maintenance Document Section SubAccount indirectCostRecoveryAccounts,Authorizes users to edit the IndirectCostRecoveryAccounts section on the Sub-Account document.,Y
OLEMI8944-PRM,OLEMI8944-PRM,1,OLE41,OLE-PURAP,Modify Accounting Lines OLE_PUR Tax itemsourceAccountingLines,Allows users to modify the Source accounting lines on documents answering to the parent document Purchasing Transactional Document when a document is at the Tax Node of routing.,Y
OLEMI8893-PRM1,OLEMI8893-PRM1,1,68,OLE-FP,Recall Document OLEFinancialProcessingTransactionalDocument,Enable Recall Document functionality for OLEFinancialProcessingTransactionalDocument documents.,Y
OLEMI8893-PRM2,OLEMI8893-PRM2,1,68,OLE-SYS,Recall Document OLE,Recall Document functionality for OLE documents.,Y
OLEMI9071-PRM1,OLEMI9071-PRM1,1,49,OLE-SYS,Send Complete Request OLE,Authorizes users to send Complete ad hoc requests for OLE Documents,Y
OLECNTRB65-PRM1,OLECNTRB65-PRM1,1,1,KR-SYS,Access Locked Module,Allow access to modules  even when locked.,Y
OLEMI9598-PRM1,OLEMI9598-PRM1,1,KR1000,OLE-SYS,Super User Approve Single Action Request OLE,Allows users to super user approve single action requests on the super user tab for OLE Documents.,Y
OLEMI9598-PRM2,OLEMI9598-PRM2,1,KR1001,OLE-SYS,Super User Approve Document OLE,Allows users to super user approve documents on the super user tab for OLE Documents.,Y
OLEMI9598-PRM3,OLEMI9598-PRM3,1,KR1002,OLE-SYS,Super User Disapprove Document OLE,Allows users to super user disapprove documents on the super user tab for OLE Documents.,Y
OLE393,OLE393,1,4,OLE-PURAP,Blanket Approve Document PRQS,Allows access to the Blanket Approval button on the Invoice Document.,Y
OLE394,OLE394,1,10,OLE-PURAP,Initiate Document PRQS,Authorizes the initiation of the Invoice Document.,Y
OLE395,OLE395,1,45,OLE-PURAP,Add Note / Attachment PRQS Invoice Image,Users who can add notes and attachments to the Invoice document when it is at the Invoice Attachment route node.,Y
OLE396,OLE396,1,46,OLE-PURAP,View Note / Attachment PRQS Invoice Image,"Authorizes users to view attachments with a type of ""Invoice Image"" on Invoice documents.",Y
OLE397,OLE397,1,16,OLE-PURAP,Edit Document PRQS R,Authorizes users who can edit Invoice Documents that are in ENROUTE status.,Y
OLE398,OLE398,1,31,OLE-PURAP,Use Transactional Document PRQS requestInvoiceCancel,Users authorized to take the Request Cancel action on Invoice Documents.,Y
OLE399,OLE399,1,31,OLE-PURAP,Use Transactional Document PRQS InvoiceHoldCancelRemoval,Authorizes users to remove Holds or Cancels on Invoice Documents.,Y
OLE400,OLE400,1,31,OLE-PURAP,Use Transactional Document PRQS requestInvoiceHold,Authorizes users to put Invoice Documents on Hold.,Y
OLE401,OLE401,1,16,OLE-PURAP,Edit Document PRQS P,Authorizes users who can edit Invoice Documents that are in ENROUTE status.,Y
OLE402,OLE402,1,16,OLE-PURAP,Edit Document PRQS F,Authorizes users who can edit Invoice Documents that are in ENROUTE status.,Y
OLE403,OLE403,1,OLE48,OLE-PURAP,Edit Bank Code PRQS,Users who can edit the Bank Code field on the Invoice Document.,Y
